,Station,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
103,Dwarka Sector 9,3,28.574271999999997,77.0653316,1,6,0,4,1,4,5,2,4,2
104,Dwarka Sector 8,3,28.5656109,77.0670366,1,2,0,8,2,2,10,3,6,3
105,Dwarka Sector 14,3,28.60225285,77.02595656497819,1,2,0,5,0,2,9,1,10,2
106,Dwarka Sector 21,3,28.5518376,77.05864890000001,0,0,0,5,1,3,5,1,9,3
107,Dwarka Mor,3,28.61931,77.0332792,1,4,0,4,0,1,4,1,21,6
108,Dwarka,3,28.577191499999998,77.04429350000001,1,4,1,1,0,2,8,2,14,1
109,Jhandewalan,3,28.6443188,77.1999165,2,5,1,11,3,1,10,2,8,10
110,Barakhambha Road,3,28.629767600000005,77.22500459999999,12,3,3,79,38,7,30,4,44,21
111,Anand Vihar ISBT,3,28.6467533,77.3180037,4,2,0,8,2,1,11,1,12,6
112,Dwarka Sector 13,3,28.597009000000003,77.0335407,2,2,0,10,3,2,9,2,8,4
113,Karol Bagh,3,28.644186600000005,77.189132,4,13,4,19,5,5,11,3,15,29
114,Karkarduma,3,28.649162199999996,77.3062081096126,3,4,0,6,3,2,0,3,1,4
115,Kirti Nagar†,3,28.653280699999996,77.1417729,1,3,1,8,4,3,0,2,10,5
116,Akshardham,3,28.61784195,77.27948814325397,1,5,0,5,0,10,3,2,18,4
117,Botanical Garden,3,28.563896399999997,77.33433199999999,4,4,1,25,7,2,3,2,26,4
118,Kaushambi,3,28.645328600000003,77.3243485,5,1,0,9,5,2,3,1,13,6
119,Gokulpuri,4,28.7024752,77.28612530000001,0,1,0,1,0,0,6,0,4,0
120,Punjabi Bagh West,4,28.6703201,77.1420875,1,3,1,10,3,4,4,3,7,5
121,South,4,28.6517178,77.22193879999999,7,8,4,20,2,3,4,4,10,21
122,ESI Hospital,4,28.658073699999996,77.1272678,3,4,2,17,8,1,4,1,8,7
123,Hazrat Nizamuddin,4,28.5887494,77.2572494,3,3,0,4,0,4,4,3,7,4
124,Sir Vishweshwaraiah Moti Bagh,4,28.5785326,77.175741,5,7,0,8,0,3,6,4,4,3
125,Jaffrabad,4,28.6826822,77.2748055,0,0,0,3,0,0,1,0,8,0
126,East Azad Nagar,4,28.664696399999997,77.284881,3,3,0,6,0,5,6,2,22,2
127,East Vinod Nagar – Mayur Vihar-II,4,28.620043699999997,77.30540690000001,0,0,0,4,2,6,8,1,0,2
128,IP Extension,4,28.6288991,77.31019787919773,1,2,0,7,3,5,4,4,4,5
129,Shakurpur,4,28.6857668,77.1496094,1,5,1,13,1,2,3,1,5,0
130,Bhikaji Cama Place,4,28.56790025,77.18701648353384,3,4,1,16,6,3,12,5,5,7
131,Shalimar Bagh,4,28.71745265,77.1508665461741,0,0,0,5,1,5,11,2,11,2
132,Naraina Vihar,4,28.6273375,77.14031750000001,1,0,0,9,1,6,4,3,3,4
133,Karkarduma Court,4,28.6536001,77.29578769999999,5,3,0,8,5,2,2,4,4,2
134,Krishna Nagar,4,28.6578461,77.2901853,2,3,0,4,2,5,9,2,17,1
135,Sarojini Nagar,4,28.574157500000002,77.1953703,1,5,0,17,3,3,7,1,8,3
136,Shiv Vihar,4,28.61753755,77.03543016986725,1,6,0,5,0,1,4,1,22,6
137,Ashram,4,28.5724231,77.2585979,3,5,1,6,1,5,4,3,18,6
138,Durgabai Deshmukh South Campus,4,28.589438399999995,77.1690817,2,4,1,27,4,5,5,1,13,7
139,Delhi Cantonment,4,28.5938331,77.1349789145993,2,3,0,6,0,4,6,2,9,1
140,Vinobapuri,4,28.566976300000004,77.24919059999999,3,10,2,22,2,7,6,5,14,5
141,Mayur Vihar Pocket I,4,28.6058619,77.29870229999999,1,6,0,9,0,8,10,9,4,1
142,Trilokpuri Sanjay Lake,4,28.613453000000003,77.30885490000001,1,0,0,0,1,3,4,3,15,1
143,Mayapuri,4,28.6371795,77.1297333,1,2,3,7,1,6,3,4,7,4
144,Maujpur-Babarpur,4,28.69197845,77.27962396808854,0,0,0,0,0,2,2,0,11,0
145,Mandawali – West Vinod Nagar,4,28.6249712,77.3044906,1,2,0,8,2,4,3,4,4,4
146,Majlis Park,4,28.724431199999998,77.18196400000001,0,0,0,4,0,1,5,0,4,0
147,Chirag Delhi,5,28.5381411,77.2280694,3,4,2,11,6,4,6,6,5,2
148,Shankar Vihar,5,28.55743865,77.13966548999556,0,1,0,2,0,0,4,0,1,4
149,Sadar Bazaar Cantonment,5,28.577150899999996,77.1111533,0,1,0,1,0,1,1,0,2,0
150,Dashrath Puri,5,28.601875099999997,77.0823561,1,0,1,4,0,2,8,2,18,3
